,Action,word,Start_time,End_time,duration,time
108,EndSaying,CUCHARA,2022-06-28 11:16:23.556,2022-06-28 11:16:25.287,886,2022-06-28 11:16:23.960
109,StartReading,PLATO,2022-06-28 11:16:25.287,2022-06-28 11:16:26.000,365,2022-06-28 11:16:25.688
110,StartSaying,PLATO,2022-06-28 11:16:26.000,2022-06-28 11:16:28.003,1026,2022-06-28 11:16:26.402
111,EndSaying,PLATO,2022-06-28 11:16:28.003,2022-06-28 11:16:29.585,810,2022-06-28 11:16:28.407
112,StartReading,VIOLÍN,2022-06-28 11:16:29.585,2022-06-28 11:16:30.298,365,2022-06-28 11:16:29.990
113,StartSaying,VIOLÍN,2022-06-28 11:16:30.298,2022-06-28 11:16:32.302,1026,2022-06-28 11:16:30.702
114,EndSaying,VIOLÍN,2022-06-28 11:16:32.302,2022-06-28 11:16:33.839,787,2022-06-28 11:16:32.707
115,StartReading,OJO,2022-06-28 11:16:33.839,2022-06-28 11:16:34.550,364,2022-06-28 11:16:34.244
116,StartSaying,OJO,2022-06-28 11:16:34.550,2022-06-28 11:16:36.554,1026,2022-06-28 11:16:34.953
117,EndSaying,OJO,2022-06-28 11:16:36.554,2022-06-28 11:16:38.468,980,2022-06-28 11:16:36.957
118,StartReading,RODILLA,2022-06-28 11:16:38.468,2022-06-28 11:16:39.177,363,2022-06-28 11:16:38.873
119,EndReading,RODILLA,2022-06-28 11:16:39.177,2022-06-28 11:16:41.181,1026,2022-06-28 11:16:39.581
120,EndSaying,RODILLA,2022-06-28 11:16:41.181,2022-06-28 11:16:42.740,798,2022-06-28 11:16:41.586
121,StartReading,SOMBRERO,2022-06-28 11:16:42.740,2022-06-28 11:16:43.449,363,2022-06-28 11:16:43.143
122,StartSaying,SOMBRERO,2022-06-28 11:16:43.449,2022-06-28 11:16:45.457,1028,2022-06-28 11:16:43.854
123,EndSaying,SOMBRERO,2022-06-28 11:16:45.457,2022-06-28 11:16:47.439,1015,2022-06-28 11:16:45.861
124,StartBlockSaying,,2022-06-28 11:16:47.439,2022-06-28 11:16:49.007,803,2022-06-28 11:16:47.845
125,StartReading,CALCETÍN,2022-06-28 11:16:49.007,2022-06-28 11:16:49.718,364,2022-06-28 11:16:49.413
126,StartSaying,CALCETÍN,2022-06-28 11:16:49.718,2022-06-28 11:16:51.724,1027,2022-06-28 11:16:50.124
127,EndSaying,CALCETÍN,2022-06-28 11:16:51.724,2022-06-28 11:16:53.339,827,2022-06-28 11:16:52.129
128,StartReading,GATO,2022-06-28 11:16:53.339,2022-06-28 11:16:54.048,363,2022-06-28 11:16:53.744
129,EndReading,GATO,2022-06-28 11:16:54.048,2022-06-28 11:16:56.054,1027,2022-06-28 11:16:54.453
130,EndSaying,GATO,2022-06-28 11:16:56.054,2022-06-28 11:16:58.021,1007,2022-06-28 11:16:56.459
131,StartReading,PLATO,2022-06-28 11:16:58.021,2022-06-28 11:16:58.730,363,2022-06-28 11:16:58.425
132,EndReading,PLATO,2022-06-28 11:16:58.730,2022-06-28 11:17:00.736,1027,2022-06-28 11:16:59.136
133,EndSaying,PLATO,2022-06-28 11:17:00.736,2022-06-28 11:17:02.451,878,2022-06-28 11:17:01.141
134,StartReading,SOMBRERO,2022-06-28 11:17:02.451,2022-06-28 11:17:03.162,364,2022-06-28 11:17:02.857
135,StartSaying,SOMBRERO,2022-06-28 11:17:03.162,2022-06-28 11:17:05.166,1026,2022-06-28 11:17:03.567
136,EndSaying,SOMBRERO,2022-06-28 11:17:05.166,2022-06-28 11:17:07.175,1029,2022-06-28 11:17:05.570
137,StartReading,LIMÓN,2022-06-28 11:17:07.175,2022-06-28 11:17:07.888,365,2022-06-28 11:17:07.580
138,StartSaying,LIMÓN,2022-06-28 11:17:07.888,2022-06-28 11:17:09.892,1026,2022-06-28 11:17:08.294
